Siren,CA2013,CA2014,CA2015,CA2016,CA2017,CA2018,Résultat2013,Résultat2014,Résultat2015,Résultat2016,Résultat2017,Résultat2018,Effectif2013,Effectif2014,Effectif2015,Effectif2016,Effectif2017,Effectif2018
320366503,4088137,4457088,4925017,5195556,6000820,7505370,64680,406870,265458,413964,759755,217878,62,59,63,79,95,102
320544406,2051998,2343508,1991468,1666665,1617775,1629993,17894,-23859,-8694,-44159,398,93370,27,27,22,19,18,19
387981079,921872,954672,933001,877504,921951,1043799,68953,61040,33470,42188,45850,33038,0,0,0,0,6,7
423505684,230723,288265,248951,170536,126014,193621,1065,3750,2334,2735,2102,7363,3,3,3,2,0,2
423559640,3202340,2992022,2753211,2817421,4613405,5924925,120899,133218,92467,20809,467836,371858,31,30,28,30,30,35
322928680,5908194,6036791,5824152,5912427,5853032,6253723,99734,30393,93283,85238,74969,66961,29,29,29,29,32,32
323934513,22895955,21811383,23197522,22276335,24576528,25740600,338555,340446,378688,380808,441767,504850,35,32,33,38,37,37
388143356,15151776,15871505,16054106,16203206,18009736,19273930,416463,901643,835108,502171,696616,374309,97,97,107,110,123,136
388163453,3941430,4205400,3976072,4204249,4435675,4760518,200305,195140,158161,216086,230091,130282,15,17,17,17,18,17
388182867,555782,477547,412610,287200,319653,247319,55501,41566,1106,3474,1623,-8226,3,2,1,1,1,1
429177264,637913,1558678,1685657,1763885,1529314,1549801,109,-19112,30666,43601,18678,25385,8,9,8,8,8,8
322271701,81189630,86782395,92326187,88048253,85712288,79294961,231522,6641,343505,52560,201203,204808,82,82,82,88,88,83
322294794,22720020,19490225,19556251,19488754,19391151,17982498,63425,128471,233491,341086,317439,111280,22,19,24,24,30,30
387592967,313590,393324,360800,278984,164848,164056,161317,115140,37362,142962,14464,68281,2,3,3,3,1,1
388592123,447420,540830,489930,466860,436250,486687,5500,31330,21530,19910,-14520,12939,3,3,3,3,3,4
388622698,6121056,5765599,5432998,4983679,5928551,6332830,-10986,18031,32256,20788,69012,46995,10,10,10,11,11,12
429397110,5110483,5289762,5100764,5379696,5215165,5307118,-161692,429854,-197776,-137027,-692941,-63974,7,7,7,5,1,5
409786290,585950,729740,730650,852311,738076,1027540,15700,35670,36860,65870,22855,65261,4,4,4,4,4,4
409798956,581100,612150,612170,592100,595520,725690,-20790,8060,19410,51030,5130,41310,12,12,13,11,10,9
388679045,1245560,1341860,1356530,1417820,1455490,1481950,133180,120810,144260,146170,136300,131770,12,16,16,16,17,18
409966223,7499368,8566144,8899504,8303421,12880358,14172613,375350,595801,508850,266309,342874,312879,33,33,43,46,78,78
414440867,9787387,12131634,16792213,19194410,20516527,19079253,358204,1215375,1846535,2323169,32931,-1502103,33,36,70,45,49,46
414443499,5517550,3893970,3547390,3527590,3820260,2997060,4190,11470,12180,81930,48180,97210,15,15,13,15,12,14
414479840,874167,765436,682954,896552,524055,708945,34665,39715,45851,39763,41738,-10131,3,3,3,3,3,4
328703244,18414550,19145781,19107650,20166160,21509884,22149754,435889,341819,516106,616978,757835,750941,49,48,47,46,47,48
328704762,1197418,1218584,1218584,1219917,1217251,965426,1290676,978961,1375285,1923624,1751907,1445548,8,8,8,8,8,11
328738893,13850997,13338030,12830606,12576572,12431435,12732103,610036,632157,414166,492362,399839,492961,34,32,70,32,31,32
330376310,402674,761170,879808,550299,1266734,2558151,365285,420592,684401,10668,-101770,104946,8,8,7,7,7,8
330439662,4909432,4799674,4605095,4615560,4698991,4694196,20816,-107473,-101842,-15072,97416,69286,35,32,35,0,0,2
386120265,1830154,1824221,1785112,1806425,1821006,1949202,23176,25008,34505,45071,32996,31839,5,5,5,5,0,6
387835747,2605868,2407008,2415188,2687010,2475036,2409905,335007,108815,165590,268626,153706,163965,18,18,18,18,18,16
388422263,13854952,8859253,7575747,9096614,8706626,8850570,447547,193781,213711,144606,352428,279673,45,43,39,36,33,39
388466849,195558,187630,198258,176076,172107,172847,-1564,-5161,7424,3137,-5724,-4973,3,3,3,3,3,3
388481574,727224,751375,774252,758882,776117,832933,7918,15220,19323,9836,10936,11908,7,7,8,8,8,6
329475552,3555842,3334495,2796028,2243297,2725793,3097428,27774,26627,26120,28231,26821,857,3,3,3,3,3,3
329529614,1939234,2286606,2315379,2531973,2993070,2391844,99145,63449,48475,70860,192297,13880,16,16,19,18,19,21
327796009,11074426,10623183,10035712,8558947,7222286,8722893,335784,431340,259217,-317191,235066,298532,53,52,39,34,30,28
384177556,10612804,13067147,11901656,14974777.09090909,15420626,16804233,179418,232917,222793,372006.54545454547,376003,386228,15,17,17,20.727272727272727,19,18
327993226,11052409,16829097,8899975,12242974,13363411,12815534,176358,224987,-346014,175528,23387,435895,63,62,49,0,66,49
330075847,187914,201577,212696,233037,229530,215072,6766,2340,7357,13075,-780,5112,2,2,2,2,2,2
330083486,9280060,10219600,9595360,9906320,11835730,14140835,320170,304910,113810,219070,66670,186200,70,73,77,79,94,87
384244620,3141840,3093540,3077250,3348650,3106800,3623320,62220,59540,81420,157570,144150,220470,8,8,8,8,8,8
780094280,2859040,2641570,2096990,1833400,1932060,1905590,27220,16670,12260,40200,-16420,-18020,10,9,8,8,8,8
330130162,441e3,391e3,322e3,37e4,234e3,244706,29e3,3e4,18e3,18e3,18e3,13246,2,2,2,2,2,2
424617892,507578,285552,320300,196734,228566,158268,419461,5527,-113521,439835,32318,142620,2,2,2,2,2,0
424619567,484187,549411,680390,333400,485550,631233,74426,-109890,740086,-63909,1163,104221,6,6,6,7,7,5
329096895,18319020,17709030,10585210,10851320,10787200,12636890,146350,215320,32480,141910,155250,55820,46,39,31,35,35,38
385187596,369787,327913,344534,352751,388989,444712,-27904,-4485,77794,26324,5828,38232,5,4,4,0,0,0
424809218,305560,318890,315610,314320,314470,335788,159800,144040,152410,268690,134210,135947,4,4,4,4,4,8
384377339,1649300,1364791,1199513,1030564,1027421,1050994,15792,56146,66881,79459,71824,89763,42,36,27,27,23,25
788241545,2402133,2245448,2216153,2685867,2390999,2480779,97113,57058,46848,13816,44163,92036,16,15,16,15,13,16
385248778,113709,120522,126120,128837,131657,132749,-11240,-6557,8551,5510,5391,-10736,3,3,3,3,2,2
385257902,553460,552380,491740,646020,653940,551490,36050,34070,21930,74200,139710,45711,6,6,5,5,5,4
384533196,18346042,20231692,22689395,19477239,22118111,25117186,331694,450750,480657,341774,351007,686877,150,150,150,0,155,160
303892087,2005624,2289255,2289058,2139127,1935829,2745395,127762,130580,85605,83099,79139,97129,18,18,15,18,18,11
304463672,2818627,2299710,2220268,2043010,1683919,1611913,363812,303336,174557,279302,286044,313193,33,32,25,18,16,16
385198569,7172906,7616442,7802926,8657240,8117592,8548022,222396,-224293,13504,-8294,40524,21895,10,11,10,10,10,10
332691005,3251344,3400387.6363636362,3564626,3764884,3933263,4032965,291736,367642.9090909091,380485,287190,363329,457140,34,40.36363636363637,38,40,41,1
