Siren,CA2013,CA2014,CA2015,CA2016,CA2017,Résultat2013,Résultat2014,Résultat2015,Résultat2016,Résultat2017,Effectif2013,Effectif2014,Effectif2015,Effectif2016,Effectif2017
408180081,1852740,1949810,2145045,1769524,1771805,79210,17680,-9984,27989,39413,6,6,6,6,6
652050659,8724128,8701216,9386832,9866768,10429995,2524775,2411993,2793551,3030996,3339882,12,13,12,12,12
337873111,2335340,2263195,2366252,2392718,2354015,10582,13992,-466641,-13331,218623,8,9,8,8,8
388509903,2698925,2099404,2105901,1822523,1542608,124834,100073,82708,-170161,2751,5,5,5,5,5
423394626,1256e3,1351197,1269505,1539344,1424756,-12e4,-130523,-140296,-16621,-21580,8,7,7,8,8
320366503,4088137,4457088,4925017,5195556,6000820,64680,406870,265458,413964,759755,62,59,63,79,95
320367147,30872248,31891109,34026339,34096450,33598637,970168,798571,1082882,1053539,421721,47,47,47,44,44
320400781,5149615,5606101,6054237,7857792,7840048,-246287,266934,423792,517254,193464,49,49,49,49,43
320544406,2051998,2343508,1991468,1666665,1617775,17894,-23859,-8694,-44159,398,27,27,22,19,18
320564321,11211138,14321963,15632536,12886438,17181992,-361029,283668,663792,231227,81074,49,49,52,0,51
320650740,2153249,2265425,2246472,2375895,2298886,237894,233421,239315,197712,285679,18,19,19,18,18
320773500,1902814,1670668,1497413,1679059,1830629,30361,44058,14544,10800,38321,7,8,7,7,6
320788383,5864760,4953290,4770200,4609950,4378810,38850,79320,-21890,39500,151820,52,47,42,41,40
387970700,18385801,18252636,16852856,16799725,13991198,76200,239246,148251,205131,91532,15,19,19,15,14
387981079,921872,954672,933001,877504,921951,68953,61040,33470,42188,45850,0,0,0,0,6
387983109,2237e3,2924300,2390900,2915060,3122110,89e3,115910,85960,160500,190640,18,17,16,16,16
387993215,4963770,4748823.428571429,4814603,4950256,4485286,33190,24732,24538,39702,49395,20,16.285714285714285,19,19,17
388111015,2223110,1982380,2190700,2353934,2489463,23350,-15610,33790,-28961,20991,3,3,3,0,2
423559640,3202340,2992022,2753211,2817421,4613405,120899,133218,92467,20809,467836,31,30,28,30,30
423605906,1647541,1570476,1476738,1404908,1442447,115009,214372,157201,21174,178008,21,18,18,17,16
423615152,624679,601452,644275,642311,538181,44844,23663,20264,7866,-32275,6,6,6,6,6
429167075,16977271,16743931,19935018,24528543,30507155,1056318,1549466,2863489,3103559,5994110,93,86,95,96,95
322928680,5908194,6036791,5824152,5912427,5853032,99734,30393,93283,85238,74969,29,29,29,29,32
323209775,7845384,8899619,12653069,11336329,12338858,248369,-69639,425606,487565,1382476,33,36,35,33,38
323286807,1753180,1751049,1795800,1724746,1837483,87525,159631,176301,137505,115622,31,31,28,28,30
323945204,1407485,2020223,1959199,1570126,1653370,-4363,16730,57239,13283,12092,20,20,18,19,20
323998930,10352317,13496652,13644445,13639526,14673994,51945,-40401,20230,109209,26654,27,33,35,35,35
323934513,22895955,21811383,23197522,22276335,24576528,338555,340446,378688,380808,441767,35,32,33,38,37
323982306,915340,977950,1049300,1106820,1084470,76130,88910,72520,51820,170710,8,8,9,9,10
324005677,1375e3,1344e3,148e4,1788e3,2062e3,-59e3,6e3,81e3,159e3,112e3,18,18,18,18,23
322043803,2338988,3107214,2668124,3333184,3276678,44162,77348,80008,146738,137750,12,15,9,0,15
388143356,15151776,15871505,16054106,16203206,18009736,416463,901643,835108,502171,696616,97,97,107,110,123
388163453,3941430,4205400,3976072,4204249,4435675,200305,195140,158161,216086,230091,15,17,17,17,18
388182867,555782,477547,412610,287200,319653,55501,41566,1106,3474,1623,3,2,1,1,1
388195281,447608,383341,736880,381151,290802,53115,3786,92741,25102,40810,1,1,1,1,2
385397559,1300140,1706190,1329830,787060,777890,6150,8600,12400,4300,7e3,3,2,1,1,1
489774158,140941,128604,126148,109179,117081,9928,579,1600,629,314,1,1,1,1,1
429177264,637913,1558678,1685657,1763885,1529314,109,-19112,30666,43601,18678,8,9,8,8,8
429177892,17060163,19238073,19494745,21563020,24538444,83536,163576,238143,269049,376897,36,35,33,33,35
429206352,3307345,3433692,2916296,3166792,3429740,14203,168700,77850,113173,-94216,32,31,28,27,28
429210305,662186,611282,574885,703793,781056,-5616,-22611,35606,25847,26892,15,9,9,10,12
429236144,1659744,1576710,1242264,1062061,910623,-9570,-99284,-202406,-75882,-32222,15,16,13,10,10
429244361,2588020,1965710,2177610,1703280,1879960,72420,58060,29410,47060,64550,18,16,15,11,14
429326127,197469,174310,154457,190349,180198,13100,2424,6455,12791,4656,2,2,2,2,2
429343668,188913,198486,214114,192279,190589,6448,12754,19839,9519,7596,4,4,4,4,4
322250580,38402e3,40096640,45024740,51676670,58074050,723e3,1287890,1411320,3355330,1511410,140,172,167,161,204
322271701,81189630,86782395,92326187,88048253,85712288,231522,6641,343505,52560,201203,82,82,82,88,88
322294794,22720020,19490225,19556251,19488754,19391151,63425,128471,233491,341086,317439,22,19,24,24,30
322324146,1714737,1812583,1796494,1819404,1752047,67899,130903,147336,167550,129166,28,30,27,28,27
322440496,5597918,5617854,6851642,7057712,8288627,486014,524394,543278,531192,569706,26,31,37,42,39
322566472,1805071,1894645,1924597,1997531,2036047,58903,66944,66596,50582,50119,14,14,19,20,18
322625765,963139,939187,992018,860061,832862,35582,37415,39077,24570,94668,6,6,6,6,5
387586795,410127,367114,261535,290274,281270,-15444,21513,-2431,5419,12325,5,5,3,2,2
387592967,313590,393324,360800,278984,164848,161317,115140,37362,142962,14464,2,3,3,3,1
388523201,174156,165532,172795,176655,186038,-7260,253,4280,502,4629,1,1,1,1,1
388592123,447420,540830,489930,466860,436250,5500,31330,21530,19910,-14520,3,3,3,3,3
388596116,246431,229695,169988,229638,199049,-11239,-2951,-2868,3105,1436,1,1,1,1,1
388605107,66030,39180,51550,71610,48470,130,500,6540,10650,-470,1,1,1,1,1
388622698,6121056,5765599,5432998,4983679,5928551,-10986,18031,32256,20788,69012,10,10,10,11,11
429397110,5110483,5289762,5100764,5379696,5215165,-161692,429854,-197776,-137027,-692941,7,7,7,5,1
409776325,125212,130366,166686,139705,151303,1949,2503,1864,-10325,332,1,1,1,1,1
409784816,14558912,13045744,12781574,10285564,10427173,21229,9959,39502,16941,50717,3,2,2,2,2
409786290,585950,729740,730650,852311,738076,15700,35670,36860,65870,22855,4,4,4,4,4
409797230,30722666.666666664,26927940,23214910,26677830,33719740,216e3,-137040,600460,272490,162580,92,53,50,53,54
409798956,581100,612150,612170,592100,595520,-20790,8060,19410,51030,5130,12,12,13,11,10
409842903,286525,362445,349194,384271,606074,7902,-2604,-32630,41975,89828,2,2,2,2,2
409865011,10123031,9464318,13681585,18676470,16452183,420227,374296,455462,1407606,645089,46,50,56,63,67
409875739,4864769,4901530,4694068,4836471,4922376,212899,219771,185096,190813,192912,52,55,52,0,53
409886892,588259,602151,655718,607128,601898,92446,86741,79982,66611,36921,9,9,9,11,11
409896149,79065687,110165203,107767542,115794608,89589930,1050002,2782162,-201291,-18233199,2584071,160,169,170,150,166
331108431,25558733,27499873,29183117,29296433,33067992,195606,137035,631483,477888,723341,37,45,48,49,54
331108589,20467727,23865882,27178628,22295910,22565683,711251,969961,864125,306478,220494,55,55,62,60,59
331129437,8453225,8948783,9675425,10164757,11945633,-1805507,-2194157,-100530,-2283207,79784,68,68,72,73,75
331154765,45215665,36394e3,25257174,20858102,20742804,-631531,-257065,-1553991,-666239,112525,196,173,126,102,120
331233940,16029319,14837250,14711626,14857279,14903112,603818,636313,1208972,892510,1013040,122,112,105,109,108
328781869,22112051,23748165,26468813,25397757,25067888,959375,974718,1279633,1470696,1749913,81,84,92,92,92
388679045,1245560,1341860,1356530,1417820,1455490,133180,120810,144260,146170,136300,12,16,16,16,17
388739179,57375367,58049035,54654651,53707962,53227745,2342388,2705339,2501343,2555564,2458266,475,483,452,425,394
388743171,1142709,930611,625525,720838,682098,-52631,-18777,-15117,10469,10539,11,6,6,7,8
388772725,3707688,4063859,3446613,2552642,2342127,1051105,1155216,701955,279265,281506,15,19,19,18,18
388773772,35896140,28736470,29806590,28922590,36683880,354400,1630980,1515650,854730,971380,311,295,278,254,258
388781551,31474828,27558594,25255403,329188836,28613750,766689,666122,701506,8256588,941069,205,193,186,2220,195
409899127,65942376,56091001,66166700,77990003,79672958,962801,636708,369677,1577627,2304300,505,478,567,605,592
409944329,1756316,1771539,1742971,1709293,1728408,140635,115735,96445,73914,70631,8,7,6,7,5
409966223,7499368,8566144,8899504,8303421,12880358,375350,595801,508850,266309,342874,33,33,43,46,78
410035729,328870,324269,340007,353616,343156,-36360,-37995,-47216,-24303,-29065,3,3,3,3,3
410088504,849877,747227,941564,859363,739606,-35471,6761,2916,-26888,-40292,9,10,8,7,6
410107486,1629080,1624370,1178110,1612580,1701470,165620,168070,663920,218350,207210,5,6,6,9,11
328897244,308361,248091,197144,229627,199477,22005,-15399,528,963,725,4,3,3,3,3
328970348,2729717,2718687,2530980,3043622,2970289,92816,123117,81958,85693,135906,9,10,11,10,0
