Siren,CA2013,CA2014,CA2015,CA2016,CA2017,CA2018,Résultat2013,Résultat2014,Résultat2015,Résultat2016,Résultat2017,Résultat2018,Effectif2013,Effectif2014,Effectif2015,Effectif2016,Effectif2017,Effectif2018,clustersCA,clustersRES,clustersEFF,activite,nom
320366503,4088137,4457088,4925017,5195556,6000820,7505370,64680,406870,265458,413964,759755,217878,62,59,63,79,95,102,A,A,A,Fonds de placement et entites financieres similaires,ASSE GROUPE
320544406,2051998,2343508,1991468,1666665,1617775,1629993,17894,-23859,-8694,-44159,398,93370,27,27,22,19,18,19,D,B,D,"Ingenierie, etudes techniques",SODEREF
387981079,921872,954672,933001,877504,921951,1043799,68953,61040,33470,42188,45850,33038,0,0,0,0,6,7,A,D,A,Commerce de detail d'articles de sport en magasin specialise,E.T ALTERNATIVE
423505684,230723,288265,248951,170536,126014,193621,1065,3750,2334,2735,2102,7363,3,3,3,2,0,2,D,B,B,Travaux de maconnerie generale et gros oeuvre de batiment,SARL D'EXPLOITATION ENTREPRISE BANET
423559640,3202340,2992022,2753211,2817421,4613405,5924925,120899,133218,92467,20809,467836,371858,31,30,28,30,30,35,A,B,A,"Decoupage, emboutissage",T.P.M.S. - TOLERIE DE PRECISION - MECANO- SOUDURE
322928680,5908194,6036791,5824152,5912427,5853032,6253723,99734,30393,93283,85238,74969,66961,29,29,29,29,32,32,A,C,A,Fabrication d'emballages en matieres plastiques,SAK-PLAST
323934513,22895955,21811383,23197522,22276335,24576528,25740600,338555,340446,378688,380808,441767,504850,35,32,33,38,37,37,A,B,C,"Commerce de gros (commerce interentreprises) poissons, crustaces et mollusques",BLANC
388143356,15151776,15871505,16054106,16203206,18009736,19273930,416463,901643,835108,502171,696616,374309,97,97,107,110,123,136,A,C,A,Transports routiers de fret interurbains,SARL TRANSPORTS FRIGORIFIQUES DU VIVARAIS
388163453,3941430,4205400,3976072,4204249,4435675,4760518,200305,195140,158161,216086,230091,130282,15,17,17,17,18,17,A,C,C,Comm. de det. d'articles d'horlogerie et de bijouterie en magasin specialise,RULLIERE BERNARD
388182867,555782,477547,412610,287200,319653,247319,55501,41566,1106,3474,1623,-8226,3,2,1,1,1,1,C,D,D,Commerce de detail d'autres equipements du foyer,SONGJA FLUTES
429177264,637913,1558678,1685657,1763885,1529314,1549801,109,-19112,30666,43601,18678,25385,8,9,8,8,8,8,B,A,D,Activites des marchands de biens immobiliers,TERRATLAN
322271701,81189630,86782395,92326187,88048253,85712288,79294961,231522,6641,343505,52560,201203,204808,82,82,82,88,88,83,D,B,C,Commerce de gros (commerce interentreprises) de fruits et legumes,LACOUR RENE
322294794,22720020,19490225,19556251,19488754,19391151,17982498,63425,128471,233491,341086,317439,111280,22,19,24,24,30,30,C,A,C,Commerce de gros (commerce interentreprises) alimentaire specialise divers,SOCOFRAM
387592967,313590,393324,360800,278984,164848,164056,161317,115140,37362,142962,14464,68281,2,3,3,3,1,1,D,D,B,Activites des societes holding,CHABERT HOLDING
388592123,447420,540830,489930,466860,436250,486687,5500,31330,21530,19910,-14520,12939,3,3,3,3,3,4,D,C,A,Traitement et revetement des metaux,MORIN SURFACE
388622698,6121056,5765599,5432998,4983679,5928551,6332830,-10986,18031,32256,20788,69012,46995,10,10,10,11,11,12,C,A,A,Commerce de gros (commerce interentreprises) de boissons,CAVES BILLON
429397110,5110483,5289762,5100764,5379696,5215165,5307118,-161692,429854,-197776,-137027,-692941,-63974,7,7,7,5,1,5,B,D,B,Commerce de gros (commerce interentreprises) de boissons,HARDY COGNAC
409786290,585950,729740,730650,852311,738076,1027540,15700,35670,36860,65870,22855,65261,4,4,4,4,4,4,A,A,A,Autres commerces de detail specialises divers,2 DM ENCADREMENT
409798956,581100,612150,612170,592100,595520,725690,-20790,8060,19410,51030,5130,41310,12,12,13,11,10,9,A,A,B,Activites de securite privee,AGENCE DE SECURITE ET D'INTERVENTION
388679045,1245560,1341860,1356530,1417820,1455490,1481950,133180,120810,144260,146170,136300,131770,12,16,16,16,17,18,B,A,C,Boulangerie et boulangerie-patisserie,SAS BERGOULI
409966223,7499368,8566144,8899504,8303421,12880358,14172613,375350,595801,508850,266309,342874,312879,33,33,43,46,78,78,A,C,A,Transformation du the et du cafe,LE TEMPS DES CERISES
414440867,9787387,12131634,16792213,19194410,20516527,19079253,358204,1215375,1846535,2323169,32931,-1502103,33,36,70,45,49,46,B,C,A,"Activites specialisees, scientifiques et techniques diverses",VOISIN CONSULTING
414443499,5517550,3893970,3547390,3527590,3820260,2997060,4190,11470,12180,81930,48180,97210,15,15,13,15,12,14,C,B,B,Entretien et reparation d'autres vehicules automobiles,SMG CHALLENGE
